target,source,time,week,comment
78,18,20170310,5,"This post is great. There are a lot of concepts and ideas that invoke my thinking. Nowadays, people are perceiving the information every day, however, no one knows the actual process of the perception. Sometimes, we are blind because of the horizon like a frog in the well. Sometimes, we would like to dive into a virtual game or movie to experience an entirely different world. And I do believe that learning the concept of HII will help us know much more about ourselves. Thanks for the post."
2,18,20170310,5,"A very profound post. I cannot agree more with the concept that our cognition process is more or less influenced by the ambient. That??s also why people usually behaves uncertainly comparing with the machine. Being aware of the cognition influence factor, people are intended to design the environmental objects to stimulate the cognition process. That is absolutely great discovery and will be beneficial for people in a long time."
58,18,20170310,5,"Thanks for your post. I find interesting in the discussion about the communication system. It is quite inspiring that we as the student from Information engineering major are trying to making the information flows efficiently and elegantly. All courses that we learned is trying to help people touch the information and interact with it. At end of the day, we should also be aware of the way people perceive and interact with the information and that is probably why we are studying this topic."
60,18,20170310,5,"Now we can no long bear with the world without the social network. With the help of the social network, we can get touch with others more easily and it definitely increases the connection between each other. And I highly agree with your idea that we now live in a world base on internet and mobile technology."
78,18,20170310,5,"This is an absolutely brilliant post. I get a deeper understanding of the information technology in different ways. The idea that information technology is actually helping us have a further recognition of the world is very inspiring. There are a lot of problems and puzzles that are hardly solved by human brain now is just a simple problem for the computers. With help of algorithms, I believe we are approaching closer to the real nature of the world. The technology is empowering people with a stronger and more powerful cognitive tool, which is definitely a benefit for humankind in large view."
60,18,20170310,5,"Thanks for connecting the information entropy concept with the communication principle course. I think entropy is originally generated from the physics area. Then we can also describe the degree of the chaos for information by information entropy. If I understand it in a correct way, the physical world is increasing its entropy no matter what happened, meanwhile, the information must obey the same rule. And we can have a better description of the information that it is keeping enlarging and will be always increasing, which is fascinating and a little bit threatening. Nevertheless, we can better master the essence of the world, isn't it great?"
2,18,20170310,5,"I am interested in Amazon Go as much as you are and it's my pleasure to share opinions with you. 1. In response to @cheunglokin, I think what you are afraid of is absolutely reasonable. More and more data is collected and the cyber security is definitely the top concern of all the users. However, the positive side of the data collection is that Amazon can acquire more data about the customers and personalise their service. On the other hand, in the future, even the supermarket will be smarter and more considerate to each customer. isn't it a great thing? 2. In the economical view, the machine can never replace anyone in the world. In the past days, people needs a driver to drive a carriage. With the development of technology, everyone can drive a vehicle. Those who are used to work as carriage drivers are now freed from the boring job and are entitled to more creative jobs. Overall, it will be a great thing that the machine can replace more and more people in the world. It is the signal that more and more people can work for the much higher level of the work and consequently people's lives will be much better. I do believe technology will empower human with the stronger ability and better life quality."
58,18,20170311,5,"I learned a lot of the contextual computing and its application from your post. Thanks for the elaboration and explanation. It seems that no matter in the digital world or the physical world the contextual information is always very useful for helping people make decisions. In the era of big data, more and more company are exerting every opportunity on collecting user data and trying to provide the smart choice by contextual computing. It really helps me to understand the importance of the big data technology, although your focus might be the contextual computing. Thanks for this inspiring post."
58,18,20170311,5,"Your introduction to the sentimental analysis is very clear and easy to understand. I got a full picture of the sentiment analysis with two aspects in content analysis and NLP. In my opinion, the general method of the opinion mining is to exert the machine to imitate the understanding process of the human brain. As the trending technology of Convolutional Neural Network, it is to some way to stimulate the neural cells of people's brain. To some degree, I believe that our computers will become something similar to ourselves humankind. And the ability to understand the sentiment and context of the machine will be as strong as human beings."
78,18,20170311,5,"I think to some degree you misuse the idea of NLP and compilation. What I believe is that NLP is talking about people are trying to utilise the machine to understand the massive natural language that is used every day. However, in terms of the compilation that the program is translated into machine code, it is much easier than NLP because we can define the syntax and the meaning of the programming language. If you would like to take a look at my post, I am writing a general comparison between NLP and compilation. Hopefully, my post can help you understand the difference between these two concepts."
2,18,20170312,5,"That is a very comprehensive description of the data in social networks. I am really appreciated that you mentioned a lot of concepts like data category, data quality and characteristics of social data. I highly agree with you that there are plenty of rubbish posts that are useless for analysing. And consequently, we might need computers to help us clean the data and filtrate the valuable data. However, when we trying to work with data, we actually have no clue about the destination that we are approaching. It suggests that sometimes the so-call rubbish data may have valuable usage for other purposes. What we have to do is to find the most appropriate threshold in filtering data and do not set any potential conclusion before the work is done."
60,18,20170312,5,"I am really appreciated that you shared your detailed thinking and discovery about the sentiment analysis. I find it's interesting that there is some company deploying human-based sentimental analysis or hybrid method. I think in terms of the social network where millions of posts generated every day, it is impossible to barely employ staff working on sentiment analysis. And we can depend on machine learning techniques in dealing with this problem because the results are not that critical. It is also acceptable that some mistakes are made. And I personally believe that in the future the machine learning approach will be more accurate and there will be no need to utilise the manpower to work on sentiment analysis."
20,14,20170313,5,"Affordance is one of the important concept when building User Interface. Using icons with clear meaning can provide more accurate and user-friendly guidelines. there are lots of online resources of using icons. one of the online resources I use frequently is Font Awesome, just including the url as a single line inside the section while building website."
48,14,20170313,5,"Some people especially the older generation may have negative concerns on whether Artificial intelligence is safe or not. what is your opinion, Kelwin? In my opinion, some Artificial intelligence such as Autonomous car can greatly reduce the number of car accident, but in a pessimistic view, lots of jobs may be replaced by those Artificial intelligence, lots of people may lose their jobs. By the way, variety of machine learning techniques by accessing large amount of data (big data) nowadays brings us solutions for more and more complex problems, just make us more abd more convenient than before."
20,14,20170313,5,"Assume the user interface is just like YAHOO NEWS, users need to click the title of article to read the whole article. while clicking the title of article for reading, the number of times of reading articles with specific category by a user can be known and will be stored in the sql database. As one single article or advertisements have several categories, we can use the recommendation system to recommend articles and advertisements to user. Using rating system, it is more accurate for us to know the preference of user for reading articles. Just rejecting the article or advertisements with low rating, thr recommendation system can recommend the most suitable article or advertisements for the users."
48,14,20170314,5,"I agree that there are lots of security issues in social media. For example, lots of people may enjoy in doing Facebook quizzes, but all the personal information and answers in the quizzes maybe sold to commercial company, even use it for cracking passwords and meeting friends around the user. Some fake virus alert in Facebook may also trick the people to click the link that supposed to fix the virus, but actually it contains malware that may inflect the user??s computer. The use of applications in Facebook also put the user??s information at risk, even only the friends of the user use these applications. Be aware of these security issues in Facebook!"
39,51,20170311,5,"I think UX is more than just how user-friendly a software or an application is. It is also about the layout, whether it is dull or artistic. This might not be what our engineering learning focuses on but as a user I would prefer a colourful and attractive apps more than a dull and boring one."
45,51,20170311,5,"Your post reminds me of IERG3830 Product Design Project. This year??s project focus is mainly on Virtual Reality and Augmented Reality and my group is currently working on a project which combines AR with Piano. Surely there could be a lot of possibilities for us to explore in the scope of both AR and VR but while we are researching on this topic, we found that the equipment supporting these technologies are extremely expensive. Hopefully in a not too distant future there would be alternatives that are affordable for the public. After all, technology should be advanced yet available for everyone."
10,51,20170311,5,"I do agree with online stores being convenient and require less capital for retailers but I think that traditional in-store environment still have its competitiveness. Personally I like trying on clothings and shoes before buying them, especially after a few terrible experiences with Taobao haha~"
41,69,20170313,5,"I also agree with you and I like your interesting examples :) As you have mentioned, I think Chinese is one of special language. Different combination with other words will result to a totally different meaning. Same words can be interpreted in a very different way by other people. A different manner of speaking and speaking tone will also affect the meaning of the sentence. Moreover, I believe that robot will not rule human or the world but work with us because they depend on us. Also if robots did get out of hand, we would be able to stop it before it is too late."
19,69,20170313,5,"In my opinion, to decide whether Naive Bayes classifier is good or not depends on you are in which circumstance. We can??t expect it to be perfect for all language model.There are a number of dimensions we should look at to decide what will be a reasonable algorithm we should apply, such as: How large is the training set? Are features independent? What are the system's requirement in terms of speed/performance/memory usage...? Therefore, if we want to do something super simple, fast, and effective like semi-supervised learning, Naive Bayes classifier is what are we looking for."
25,69,20170313,5,"Apart form education industry which already has quite well development, I think fashion industry, airline companies filmmaking and storytelling etc are potential users to adopt VR. Furthermore, I believe VR could one day incorporate all the senses to provide user immersive experience. Existing VR only simulate things you can see and hear. The most possible development in the future will be the sense of touch which people can touch virtual environments just like in reality."
13,69,20170314,5,"I also have the same experience when online shopping :) With sentiment analysis, it can filter out the most relevant and helpful comment and we can save a lot of time to scan all comments one by one. Actually, it do increase the desire of shopping because it improve the user experience! A good UX design do help user gain information with minimum concentration and give user a great satisfaction. Furthermore, I think there is still a long way to analyse the words or sentence structures to explore the internal world of human beings because it is difficult for the computer to understand the complicated emotion of human, especially using Chinese language which even same words can be interpreted in a very different way by different people or in different situations."
32,27,20170313,5,"I think your point ""Songs and music are the ""apps"" of earlier era"" is interesting. I totally agree with you after thinking again your point. In the past, people use songs and music for communication not only inside the country, but also across the country. Some famous songs attracted other country people and translated in their own language and spread in their country. For example, the song of Air Supply ""All Out of Love"" was covered by Hong Kong singer Mr Tam and become another well-known song ""???L??"". Music is amazing. I think music can benefit from the growth of Internet era since there are better platform for the music producer to share to. More people can exchange their ""information"". Isn't it?"
52,27,20170314,5,"Yes, I totally agree with your point of "" Machine Learning is Interesting "". If you really interested in machine learning, I highly recommend you to try Watson which I have learnt in SEEM4680 in last semester. Watson is a famous machine learning program of IBM. It has a function basically for conversation use. And the most attractive thing is easy to handle. You can train the program as what you want to provide. At the last semester ,I have created the Intent and Entity, using ""if-then-else"" case the to create the dialog flow and the response, then the program will learn the whole flow and perform it. For me, I have designed ""CUHK Canteen Adviser"" and it is successful! Therefore, feel free to have a try on Watson for learning more about Machine Learning."
